Global horizontal irradiation (GHI);Beam horizontal irradiation (BHI);Diffuse horizontal irradiation (DHI);Ambient temperature;Stromverbrauch VDI4655 EFH;Heizwärme VDI4655 EFH;Trinkwarmwasser VDI4655 EFH;Office 8-18;1 shift factory;2 shift factory
Wh/m²;Wh/m²;Wh/m²;°C;Normiert/a;Normiert/a;Normiert/a;Normiert/a;Normiert/a;Normiert/a
0,0000000000;0,0000000000;0,0000000000;11,9100000000;0,000111374;0,000262025;0,000289084;9,2048E-05;6,51716E-05;5,2338E-05
0,0000000000;0,0000000000;0,0000000000;11,0100000000;0,000202684;0,00025232;0,000165191;7,9718E-05;7,82059E-05;6,28056E-05
0,0000000000;0,0000000000;0,0000000000;10,3200000000;0,000218834;0,000155274;0;5,97617E-05;6,50413E-05;5,22333E-05
0,0000000000;0,0000000000;0,0000000000;9,8000000000;0,000202259;0,000145569;8,25954E-05;5,6697E-05;7,81625E-05;6,27707E-05
0,0000000000;0,0000000000;0,0000000000;8,9800000000;0,000228948;0,000203797;0,000165191;5,64119E-05;6,51282E-05;5,23031E-05
0,0000000000;0,0000000000;0,0000000000;8,3300000000;0,000231942;0,000242615;0;5,64119E-05;7,82059E-05;6,28056E-05
0,0000000000;0,0000000000;0,0000000000;8,5400000000;0,000171163;0,000242615;4,12977E-05;5,64119E-05;6,50413E-05;5,22333E-05
0,0000000000;0,0000000000;0,0000000000;7,7100000000;0,000112717;0,000203797;4,12977E-05;5,6697E-05;7,82059E-05;6,28056E-05
0,0000000000;0,0000000000;0,0000000000;7,5700000000;0,000113826;0,000223206;0;5,58418E-05;6,51716E-05;5,2338E-05
0,0000000000;0,0000000000;0,0000000000;7,7400000000;7,47834E-05;0,000213502;0;5,97617E-05;7,82928E-05;6,28754E-05
0,0000000000;0,0000000000;0,0000000000;7,4700000000;8,49919E-05;0,000232911;0,000123893;8,13928E-05;6,53019E-05;5,24426E-05
0,0000000000;0,0000000000;0,0000000000;7,2700000000;0,000155296;0,000232911;0,000206489;0,000104948;8,01611E-05;6,43757E-05
0,0000000000;0,0000000000;0,0000000000;7,4100000000;0,000160058;0,000184388;0,000743359;0,000126009;6,2782E-05;5,04189E-05
13,1500000000;0,0000000000;15,0200000000;7,5300000000;9,68035E-05;0,000242615;0,000123893;0,000140584;7,60335E-05;6,1061E-05
60,2500000000;10,5900000000;49,6600000000;8,4900000000;0,000109723;0,00025232;0,00053687;0,000140869;6,30861E-05;5,06632E-05
94,9300000000;15,8600000000;79,0700000000;10,1400000000;0,000108497;0,000281434;0,000123893;0,000146215;7,62508E-05;6,12354E-05
126,4500000000;23,5700000000;102,8800000000;11,9700000000;0,000199478;0,000242615;4,12977E-05;0,000138624;6,53888E-05;5,25124E-05
140,4000000000;22,1600000000;118,2400000000;13,1600000000;5,51681E-05;0,000203797;0;0,00013891;7,85101E-05;6,30498E-05
112,3500000000;24,5100000000;87,8400000000;13,8600000000;4,69636E-05;0,000242615;0;0,00014005;6,33902E-05;5,09074E-05
79,8000000000;19,2500000000;60,5500000000;14,5200000000;4,74351E-05;0,000213502;0;0,00013303;7,65549E-05;6,14797E-05
64,1000000000;18,8900000000;45,2100000000;14,6500000000;4,56433E-05;0,000262025;0;0,000131604;6,61709E-05;5,31405E-05
30,9000000000;7,8600000000;23,0400000000;14,1500000000;6,70269E-05;0,00025232;4,12977E-05;0,000128539;7,87273E-05;6,32243E-05
4,2800000000;0,0000000000;4,4700000000;12,9600000000;0,000114816;0,000300843;4,12977E-05;0,000115889;6,33902E-05;5,09074E-05
0,0000000000;0,0000000000;0,0000000000;12,1400000000;7,23787E-05;0,000271729;0,000165191;0,000102703;8,06824E-05;6,47944E-05
0,0000000000;0,0000000000;0,0000000000;11,9900000000;0,000111374;0,000262025;0,000289084;9,1763E-05;6,7735E-05;5,43966E-05
0,0000000000;0,0000000000;0,0000000000;11,8100000000;0,000202684;0,00025232;0,000165191;8,11078E-05;8,07693E-05;6,48642E-05
0,0000000000;0,0000000000;0,0000000000;11,5600000000;0,000218834;0,000155274;0;5,97617E-05;6,7735E-05;5,43966E-05
0,0000000000;0,0000000000;0,0000000000;11,1000000000;0,000202259;0,000145569;8,25954E-05;5,41669E-05;8,06824E-05;6,47944E-05
0,0000000000;0,0000000000;0,0000000000;10,3400000000;0,000228948;0,000203797;0,000165191;5,41669E-05;6,76481E-05;5,43268E-05
0,0000000000;0,0000000000;0,0000000000;9,9500000000;0,000231942;0,000242615;0;5,41669E-05;8,05955E-05;6,47246E-05
0,0000000000;0,0000000000;0,0000000000;9,6100000000;7,10719E-05;7,45653E-05;0;5,41669E-05;6,74309E-05;5,41524E-05
0,0000000000;0,0000000000;0,0000000000;9,1800000000;6,61731E-05;8,69929E-05;0;5,52716E-05;8,03783E-05;6,45502E-05
0,0000000000;0,0000000000;0,0000000000;8,6900000000;6,35552E-05;9,32067E-05;0;5,38818E-05;6,53019E-05;5,24426E-05
0,0000000000;0,0000000000;0,0000000000;8,3300000000;6,36071E-05;9,94204E-05;0;5,72672E-05;8,01611E-05;6,43757E-05
0,0000000000;0,0000000000;0,0000000000;8,1800000000;6,41514E-05;0,000105634;0;7,85776E-05;6,53019E-05;5,24426E-05
